"","clamp","stl_mean","stl_se"
"1","-10.5",1.44688853634613,0.101550180060755
"2","-8.75",1.44273923718018,0.10549311656091
"3","-7",1.29086398856185,0.0805699601010707
"4","-5.25",1.17444827986219,0.0808527020273158
"5","-3.5",0.769204662823823,0.0785134339564458
"6","-1.75",0.419615849917394,0.0533884647490984
"7","1.75",-0.538318969499486,0.0740297174069836
"8","3.5",-0.776525192244187,0.0828510215594239
"9","5.25",-1.00862955296447,0.0795623773423832
"10","7",-1.19216355786108,0.0919977902900254
"11","8.75",-1.30373475057967,0.0774715387163983
"12","10.5",-1.44487120860929,0.103665977983502
